recordType,section,command_id,label,path,description,phrasesKeywords,actionType,stateKey,setValue
toggle,workspace,settings.security.mfa.disable,Disable MFA requirement,/settings/security,"Remove the MFA requirement for workspace members.","disable MFA, remove MFA requirement, turn off MFA, stop requiring MFA, disable two factor, remove MFA enforcement, disable 2FA requirement",toggle,mfa,false
select,workspace,settings.security.password_policy,Password policy,/settings/security,"Set the password complexity requirements: basic, strong, or custom.","change password policy, set password policy, password requirements, password strength, basic strong custom, password rules, choose password policy, password security",focus,passwordPolicy,null
section,workspace,settings.security.audit_log,Audit log,/settings/security,"Review a chronological log of security events and actions in the workspace.","audit log, security log, activity log, view audit trail, security events, action history, review security changes, who did what, event log",focus,null,null
route,workspace,settings.records,Records,/settings/records,"Configure record visibility, history retention, and audit logging settings.","open records, record settings, record configuration, manage records, record visibility, history retention, records management, record defaults",navigate,null,null
section,workspace,settings.records.settings,Record settings,/settings/records,"Configure default visibility, history retention period, and audit logging for records.","record settings, record visibility options, retention settings, record configuration, default record visibility, history rules, record defaults",focus,null,null
select,workspace,settings.records.default_visibility,Default visibility,/settings/records,"Set the default visibility level for all new records: private, workspace, or public.","change default visibility, set record visibility, default access level, private workspace public, who can see records, record permissions, default record access",focus,recordVisibility,null
select,workspace,settings.records.history_retention,History retention,/settings/records,"Set how long record change history is retained.","change history retention, set retention period, how long to keep history, record history, retention settings, keep history for, record retention, history expiry",focus,recordHistoryRetention,null
toggle,workspace,settings.records.audit.enable,Keep audit log for record changes,/settings/records,"Enable audit logging to track changes made to records.","enable audit log, turn on audit logging, keep record audit trail, track record changes, enable record audit, log record modifications, record change history",toggle,audit,true
toggle,workspace,settings.records.audit.disable,Disable audit log for record changes,/settings/records,"Disable audit logging for record changes.","disable audit log, turn off audit logging, stop recording changes, disable record audit, stop audit trail, stop tracking record changes",toggle,audit,false
action,workspace,settings.records.save,Save,/settings/records,"Save record configuration changes.","save records, save record settings, apply record changes, confirm record config, save record preferences, update record settings",submit,null,null
route,workspace,settings.support,Support requests,/settings/support,"Open and track support conversations with the customer success team.","open support, support requests, contact support, get help, support tickets, open a ticket, support conversations, help desk, reach support",navigate,null,null
section,workspace,settings.support.previous_requests,Previous requests,/settings/support,"View all of your previous support requests and their current status.","previous requests, support history, past tickets, my support requests, ticket history, previous support conversations, past inquiries",focus,null,null
section,workspace,settings.support.new_request,New request,/settings/support,"Submit a new support request to the team.","new request, new support ticket, open new ticket, create support request, submit a request, new support conversation, get help, open a new case",focus,null,null
field,workspace,settings.support.subject,Subject,/settings/support,"Enter the subject or title of your support request.","support subject, ticket subject, request subject, what is the issue, support topic, subject line, enter subject, issue title",focus,supportSubject,null
field,workspace,settings.support.message,Message,/settings/support,"Describe your issue, question, or feedback in detail.","support message, describe issue, explain problem, support details, message body, support description, tell us more, additional details, describe your problem",focus,supportMessage,null
action,workspace,settings.support.submit,Submit request,/settings/support,"Submit your support request to the customer success team.","submit support request, send request, open ticket, create ticket, submit ticket, contact support, send message, get help, submit now",submit,null,null
route,workspace,settings.migrate_crm,Migrate CRM,/settings/migrate-crm,"Import contacts, companies, and deals from another CRM.","open migrate CRM, CRM migration, import CRM data, migrate from CRM, CRM import, migrate contacts, CRM migration settings, import from salesforce, data migration",navigate,null,null
section,workspace,settings.migrate_crm.source,Migration source,/settings/migrate-crm,"Choose the source CRM and configure the connection for import.","migration source, source CRM, choose CRM, select source, CRM connection, import source, where to import from, select CRM",focus,null,null
select,workspace,settings.migrate_crm.source_crm,Source CRM,/settings/migrate-crm,"Choose which CRM to import data from: Salesforce, HubSpot, Pipedrive, or CSV upload.","choose source CRM, select CRM, salesforce hubspot pipedrive csv, import from which CRM, pick CRM source, change source CRM, which CRM",focus,sourceCrm,null
field,workspace,settings.migrate_crm.connection,Connection or file,/settings/migrate-crm,"Enter the connection string or file path for the CRM migration source.","connection string, file path, migration connection, CRM connection, import source details, connection settings, file location, API connection",focus,connectionOrFile,null
action,workspace,settings.migrate_crm.test_connection,Test connection,/settings/migrate-crm,"Test the connection to the source CRM before starting the import.","test connection, verify connection, check CRM connection, test CRM, validate connection, test migration source, connection test, test now",submit,null,null
section,workspace,settings.migrate_crm.mapping,Field mapping,/settings/migrate-crm,"Review how source CRM fields map to destination fields before importing.","field mapping, migration mapping, source to destination, field mapping preview, data mapping, map fields, check field mapping, mapping review",focus,null,null
action,workspace,settings.migrate_crm.start_import,Start import,/settings/migrate-crm,"Begin importing data from the source CRM.","start import, begin import, run migration, import data, execute import, start CRM import, begin migration, migrate now, run import",submit,null,null
route,data,settings.objects,Objects,/settings/objects,"Define custom object types and configure their attributes.","open objects, custom objects, object settings, manage objects, define objects, object types, custom object configuration, data objects, custom data",navigate,null,null
section,data,settings.objects.custom_objects,Custom objects,/settings/objects,"View and manage custom object types defined in the workspace.","custom objects, object types, data objects, object list, manage object types, see all objects, custom data types, object directory",focus,null,null
action,data,settings.objects.configure_people,Configure People object,/settings/objects,"Configure the People custom object and its field attributes.","configure people, people object settings, edit people fields, manage people attributes, people custom object, configure person object, people type",open,objects.people,null
action,data,settings.objects.configure_companies,Configure Companies object,/settings/objects,"Configure the Companies custom object and its field attributes.","configure companies, companies object settings, edit company fields, manage company attributes, companies custom object, configure company object, company type",open,objects.companies,null
action,data,settings.objects.configure_deals,Configure Deals object,/settings/objects,"Configure the Deals custom object and its field attributes.","configure deals, deals object settings, edit deal fields, manage deal attributes, deals custom object, configure deal object, deal type",open,objects.deals,null
action,data,settings.objects.add_object,Add object,/settings/objects,"Create a new custom object type with custom attributes.","add object, create object, new custom object, add data object, new object type, define new object, create new type, add custom type",open,null,null
